MLB: Reaction Time,,,,,,,,,,,,,
,,,,,,,,,,,,,
SLATE INFORMATION,,,,,SHIPPING DATE KEY,,,,,,,,
Agency: ,Good Sports,,,,1st SHIP DATE,,,,,,,,
Client:,MLB,,,,2nd SHIP DATE,,,,,,,,
Product: ,Reaction Time,,,,3rd SHIP DATE,,,,,,,,
Title: ,Reaction Time,,,,DELIVERED,,,,,,,,
ISCI: ,,,,,,,,,,,,,
Duration: ,":30, :15, :10",,,,,,,,,,,,
Audio: ,,,,,,,,,,,,,
Date: ,,,,,,,,,,,,,
Copyright: ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ship Date ,Shipped,Title / Version,Delivery Platform,ISCI / AD-ID,File Name,Length,Aspect Ratio,Audio Mix: Broadcast / Web,Legal,Slated / Unslated,Flame Exports Needed,Reviewed By,Specs
6/30,FALSE,Player Spots - Tatis,Instagram Story/Reel,,,:15,9x16,Web Stereo,upfront branding or watermark,,,,
6/30,FALSE,Player Spots - Ohtani,Instagram Story/Reel,,,:15,9x16,Web Stereo,upfront branding or watermark,,,,
7/1,FALSE,,Instagram Story/Reel,,,:10,9x16,Web Stereo,upfront branding or watermark,,,,
6/30,FALSE,Player Spots - Tatis,TikTok,,,:15,9x16,Web Stereo,upfront branding or watermark,,,,
6/30,FALSE,Player Spots - Ohtani,TikTok,,,:15,9x16,Web Stereo,upfront branding or watermark,,,,
7/1,FALSE,,TikTok,,,:10,9x16,Web Stereo,upfront branding or watermark,,,,
6/30,FALSE,Player Spots - Tatis,YouTube,,,:15,16x9,Web Stereo,upfront branding or watermark,,,,
6/30,FALSE,Player Spots - Ohtani,YouTube,,,:15,16x9,Web Stereo,upfront branding or watermark,,,,
7/1,FALSE,,YouTube,,,:10,16x9,Web Stereo,upfront branding or watermark,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
,FALSE,,,,,,,,,,,,
MLB Social,,,,,,,,,,,,,
6/27,FALSE,,Facebook / Instgram,,,:30,1x1,,,,,,
,FALSE,Player Spots - Tatis,Facebook / Instgram,,,:15,1x1,,,,,,
,FALSE,Player Spots - Ohtani,Facebook / Instgram,,,:15,1x1,,,,,,
,FALSE,,Facebook / Instgram,,,:10,1x1,,,,,,
6/27,FALSE,,Facebook / Instgram,,,:30,4x5,,,,,,
,FALSE,Player Spots - Tatis,Facebook / Instgram,,,:15,4x5,,,,,,
,FALSE,Player Spots - Ohtani,Facebook / Instgram,,,:15,4x5,,,,,,
6/27,FALSE,,IG Story / Reel,,,:30,9x16,,,,,,
,FALSE,Player Spots - Tatis,IG Story / Reel,,,:15,9x16,,,,,,
,FALSE,Player Spots - Ohtani,IG Story / Reel,,,:15,9x16,,,,,,
6/27,FALSE,,TikTok,,,:30,9x16,,,,,,
,FALSE,Player Spots - Tatis,TikTok,,,:15,9x16,,,,,,
,FALSE,Player Spots - Ohtani,TikTok,,,:15,9x16,,,,,,
6/27,FALSE,,Youtube,,,:30,16x9,,,,,,
,FALSE,Player Spots - Tatis,Youtube,,,:15,16x9,,,,,,
